Ticker YF,Nama
BTON.JK,Betonjaya Manunggal Tbk.
BTPN.JK,Bank BTPN Tbk.
BUDI.JK,Budi Starch & Sweetener Tbk.
BULL.JK,Buana Lintas Lautan Tbk.
BUMI.JK,Bumi Resources Tbk.
BUVA.JK,Bukit Uluwatu Villa Tbk.
BVIC.JK,Bank Victoria International Tb
BWPT.JK,Eagle High Plantations Tbk.
BYAN.JK,Bayan Resources Tbk.
CASS.JK,Cardig Aero Services Tbk.
CEKA.JK,Wilmar Cahaya Indonesia Tbk.
CENT.JK,Centratama Telekomunikasi Indo
CFIN.JK,Clipan Finance Indonesia Tbk.
CITA.JK,Cita Mineral Investindo Tbk.
CKRA.JK,Cakra Mineral Tbk.
CLPI.JK,Colorpak Indonesia Tbk.
CMNP.JK,Citra Marga Nusaphala Persada
CMPP.JK,AirAsia Indonesia Tbk.
CNKO.JK,Exploitasi Energi Indonesia Tb
CNTX.JK,Century Textile Industry Tbk.
COWL.JK,Cowell Development Tbk.
CPIN.JK,Charoen Pokphand Indonesia Tbk
CPRO.JK,Central Proteina Prima Tbk.
CSAP.JK,Catur Sentosa Adiprana Tbk.
CTBN.JK,Citra Tubindo Tbk.
CTRA.JK,Ciputra Development Tbk.
CTTH.JK,Citatah Tbk.
DART.JK,Duta Anggada Realty Tbk.
DEFI.JK,Danasupra Erapacific Tbk
DEWA.JK,Darma Henwa Tbk
DGIK.JK,Nusa Konstruksi Enjiniring Tbk
DILD.JK,Intiland Development Tbk.
DKFT.JK,Central Omega Resources Tbk.
DLTA.JK,Delta Djakarta Tbk.
DNET.JK,Indoritel Makmur Internasional
DOID.JK,Delta Dunia Makmur Tbk.
DPNS.JK,Duta Pertiwi Nusantara Tbk.
DSFI.JK,Dharma Samudera Fishing Indust
DSNG.JK,Dharma Satya Nusantara Tbk.
DSSA.JK,Dian Swastatika Sentosa Tbk
DUTI.JK,Duta Pertiwi Tbk
DVLA.JK,Darya-Varia Laboratoria Tbk.
DYAN.JK,Dyandra Media International Tb
ECII.JK,Electronic City Indonesia Tbk.
EKAD.JK,Ekadharma International Tbk.
ELSA.JK,Elnusa Tbk.
ELTY.JK,Bakrieland Development Tbk.
EMDE.JK,Megapolitan Developments Tbk.
EMTK.JK,Elang Mahkota Teknologi Tbk.
ENRG.JK,Energi Mega Persada Tbk.
EPMT.JK,Enseval Putera Megatrading Tbk
ERAA.JK,Erajaya Swasembada Tbk.
ERTX.JK,Eratex Djaja Tbk.
ESSA.JK,Surya Esa Perkasa Tbk.
ESTI.JK,Ever Shine Tex Tbk.
ETWA.JK,Eterindo Wahanatama Tbk
EXCL.JK,XL Axiata Tbk.
FAST.JK,Fast Food Indonesia Tbk.
FASW.JK,Fajar Surya Wisesa Tbk.
FISH.JK,FKS Multi Agro Tbk.
FMII.JK,Fortune Mate Indonesia Tbk
FORU.JK,Fortune Indonesia Tbk
FPNI.JK,Lotte Chemical Titan Tbk.
FREN.JK,Smartfren Telecom Tbk.
GAMA.JK,Gading Development Tbk.
GDST.JK,Gunawan Dianjaya Steel Tbk.
GDYR.JK,Goodyear Indonesia Tbk.
GEMA.JK,Gema Grahasarana Tbk.
GEMS.JK,Golden Energy Mines Tbk.
GGRM.JK,Gudang Garam Tbk.
GIAA.JK,Garuda Indonesia (Persero) Tbk
GJTL.JK,Gajah Tunggal Tbk.
GLOB.JK,Global Teleshop Tbk.
GMTD.JK,Gowa Makassar Tourism Developm
GOLD.JK,Visi Telekomunikasi Infrastruk
GPRA.JK,Perdana Gapuraprima Tbk.
GREN.JK,Evergreen Invesco Tbk.
GSMF.JK,Equity Development Investment
GTBO.JK,Garda Tujuh Buana Tbk
GWSA.JK,Greenwood Sejahtera Tbk.
GZCO.JK,Gozco Plantations Tbk.
HADE.JK,Himalaya Energi Perkasa Tbk.
HDFA.JK,Radana Bhaskara Finance Tbk.
HDTX.JK,Panasia Indo Resources Tbk.
HERO.JK,Hero Supermarket Tbk.
HEXA.JK,Hexindo Adiperkasa Tbk.
HITS.JK,Humpuss Intermoda Transportasi
HMSP.JK,H.M. Sampoerna Tbk.
HOME.JK,Hotel Mandarine Regency Tbk.
HOTL.JK,Saraswati Griya Lestari Tbk.
HRUM.JK,Harum Energy Tbk.
IATA.JK,Indonesia Transport & Infrastr
IBST.JK,Inti Bangun Sejahtera Tbk.
ICBP.JK,Indofood CBP Sukses Makmur Tbk
ICON.JK,Island Concepts Indonesia Tbk.
IGAR.JK,Champion Pacific Indonesia Tbk
IIKP.JK,Inti Agri Resources Tbk
IKAI.JK,Intikeramik Alamasri Industri
IKBI.JK,Sumi Indo Kabel Tbk.
IMAS.JK,Indomobil Sukses Internasional
IMJS.JK,Indomobil Multi Jasa Tbk.
INAF.JK,Indofarma (Persero) Tbk.
INAI.JK,Indal Aluminium Industry Tbk.
INCF.JK,Indo Komoditi Korpora Tbk.
INCI.JK,Intanwijaya Internasional Tbk
INCO.JK,Vale Indonesia Tbk.
INDF.JK,Indofood Sukses Makmur Tbk.
INDR.JK,Indo-Rama Synthetics Tbk.
INDS.JK,Indospring Tbk.
INDX.JK,Tanah Laut Tbk
INDY.JK,Indika Energy Tbk.
INKP.JK,Indah Kiat Pulp & Paper Tbk.
INPC.JK,Bank Artha Graha Internasional
INPP.JK,Indonesian Paradise Property T
INRU.JK,Toba Pulp Lestari Tbk.
INTA.JK,Intraco Penta Tbk.
INTD.JK,Inter Delta Tbk
INTP.JK,Indocement Tunggal Prakarsa Tb
IPOL.JK,Indopoly Swakarsa Industry Tbk
ISAT.JK,Indosat Tbk.
ISSP.JK,Steel Pipe Industry of Indones
ITMA.JK,Sumber Energi Andalan Tbk.
ITMG.JK,Indo Tambangraya Megah Tbk.
ITTG.JK,Leo Investments Tbk.
JAWA.JK,Jaya Agra Wattie Tbk.
JECC.JK,Jembo Cable Company Tbk.
JIHD.JK,Jakarta International Hotels &
JKON.JK,Jaya Konstruksi Manggala Prata
JKSW.JK,Jakarta Kyoei Steel Works Tbk.
JPFA.JK,Japfa Comfeed Indonesia Tbk.
JRPT.JK,Jaya Real Property Tbk.
JSMR.JK,Jasa Marga (Persero) Tbk.
JSPT.JK,Jakarta Setiabudi Internasiona
JTPE.JK,Jasuindo Tiga Perkasa Tbk.
KAEF.JK,Kimia Farma (Persero) Tbk.
KARW.JK,ICTSI Jasa Prima Tbk.
KBLI.JK,KMI Wire & Cable Tbk.
KBLM.JK,Kabelindo Murni Tbk.
KBLV.JK,First Media Tbk.
KBRI.JK,Kertas Basuki Rachmat Indonesi
KDSI.JK,Kedawung Setia Industrial Tbk.
KIAS.JK,Keramika Indonesia Assosiasi T
KICI.JK,Kedaung Indah Can Tbk
KIJA.JK,Kawasan Industri Jababeka Tbk.
KKGI.JK,Resource Alam Indonesia Tbk.
KLBF.JK,Kalbe Farma Tbk.
KOBX.JK,Kobexindo Tractors Tbk.
KOIN.JK,Kokoh Inti Arebama Tbk
KONI.JK,Perdana Bangun Pusaka Tbk
KPIG.JK,MNC Land Tbk.
KRAH.JK,Grand Kartech Tbk.
KRAS.JK,Krakatau Steel (Persero) Tbk.
KREN.JK,Kresna Graha Investama Tbk.
LAPD.JK,Leyand International Tbk.
LCGP.JK,Eureka Prima Jakarta Tbk.
LEAD.JK,Logindo Samudramakmur Tbk.
LION.JK,Lion Metal Works Tbk.
LMAS.JK,Limas Indonesia Makmur Tbk
LMPI.JK,Langgeng Makmur Industri Tbk.
LMSH.JK,Lionmesh Prima Tbk.
LPCK.JK,Lippo Cikarang Tbk
LPGI.JK,Lippo General Insurance Tbk.
LPIN.JK,Multi Prima Sejahtera Tbk
LPKR.JK,Lippo Karawaci Tbk.
LPLI.JK,Star Pacific Tbk
LPPF.JK,Matahari Department Store Tbk.
LPPS.JK,Lippo Securities Tbk.
LSIP.JK,PP London Sumatra Indonesia Tb
LTLS.JK,Lautan Luas Tbk.
MAGP.JK,Multi Agro Gemilang Plantation
MAIN.JK,Malindo Feedmill Tbk.
MAMI.JK,Mas Murni Indonesia Tbk
MAPI.JK,Mitra Adiperkasa Tbk.
MASA.JK,Multistrada Arah Sarana Tbk.
MAYA.JK,Bank Mayapada Internasional Tb
MBSS.JK,Mitrabahtera Segara Sejati Tbk
MBTO.JK,Martina Berto Tbk.
MCOR.JK,Bank China Construction Bank I
MDLN.JK,Modernland Realty Tbk.
MDRN.JK,Modern Internasional Tbk.
MEDC.JK,Medco Energi Internasional Tbk
MEGA.JK,Bank Mega Tbk.
MERK.JK,Merck Tbk.
META.JK,Nusantara Infrastructure Tbk.
MFIN.JK,Mandala Multifinance Tbk.
MFMI.JK,Multifiling Mitra Indonesia Tb
MICE.JK,Multi Indocitra Tbk.
MIDI.JK,Midi Utama Indonesia Tbk.
MIRA.JK,Mitra International Resources
MITI.JK,Mitra Investindo Tbk.
MKPI.JK,Metropolitan Kentjana Tbk.
MLBI.JK,Multi Bintang Indonesia Tbk.
MLIA.JK,Mulia Industrindo Tbk
MLPL.JK,Multipolar Tbk.
MLPT.JK,Multipolar Technology Tbk.
MNCN.JK,Media Nusantara Citra Tbk.
MPMX.JK,Mitra Pinasthika Mustika Tbk.
MPPA.JK,Matahari Putra Prima Tbk.
MRAT.JK,Mustika Ratu Tbk.
MREI.JK,Maskapai Reasuransi Indonesia
MSKY.JK,MNC Sky Vision Tbk.
MTDL.JK,Metrodata Electronics Tbk.
MTFN.JK,Capitalinc Investment Tbk.
MTLA.JK,Metropolitan Land Tbk.
MTSM.JK,Metro Realty Tbk.
MYOH.JK,Samindo Resources Tbk.
MYOR.JK,Mayora Indah Tbk.
MYRX.JK,Hanson International Tbk.
MYTX.JK,Asia Pacific Investama Tbk.
NELY.JK,Pelayaran Nelly Dwi Putri Tbk.
NIKL.JK,Pelat Timah Nusantara Tbk.
NIPS.JK,Nipress Tbk.
NIRO.JK,City Retail Developments Tbk.
NISP.JK,Bank OCBC NISP Tbk.
NOBU.JK,Bank Nationalnobu Tbk.
NRCA.JK,Nusa Raya Cipta Tbk.
OCAP.JK,Onix Capital Tbk.
OKAS.JK,Ancora Indonesia Resources Tbk
OMRE.JK,Indonesia Prima Property Tbk
PADI.JK,Minna Padi Investama Sekuritas
PALM.JK,Provident Agro Tbk.
PANR.JK,Panorama Sentrawisata Tbk.
PANS.JK,Panin Sekuritas Tbk.
PBRX.JK,Pan Brothers Tbk.
PDES.JK,Destinasi Tirta Nusantara Tbk
PEGE.JK,Panca Global Kapital Tbk.
PEHA.JK,Phapros Tbk.
PGAS.JK,Perusahaan Gas Negara Tbk.
PGLI.JK,Pembangunan Graha Lestari Inda
PICO.JK,Pelangi Indah Canindo Tbk
PJAA.JK,Pembangunan Jaya Ancol Tbk.
PKPK.JK,Perdana Karya Perkasa Tbk
PLAS.JK,Polaris Investama Tbk
PLIN.JK,Plaza Indonesia Realty Tbk.
PNBN.JK,Bank Pan Indonesia Tbk
PNIN.JK,Paninvest Tbk.
PNLF.JK,Panin Financial Tbk.
PNSE.JK,Pudjiadi & Sons Tbk.
POLY.JK,Asia Pacific Fibers Tbk
POOL.JK,Pool Advista Indonesia Tbk.
PRAS.JK,Prima Alloy Steel Universal Tb
PSAB.JK,J Resources Asia Pasifik Tbk.
PSDN.JK,Prasidha Aneka Niaga Tbk
PSKT.JK,Red Planet Indonesia Tbk.
PTBA.JK,Bukit Asam Tbk.
PTIS.JK,Indo Straits Tbk.
PTPP.JK,PP (Persero) Tbk.
PTRO.JK,Petrosea Tbk.
PTSN.JK,Sat Nusapersada Tbk
PTSP.JK,Pioneerindo Gourmet Internatio
PUDP.JK,Pudjiadi Prestige Tbk.
PWON.JK,Pakuwon Jati Tbk.
PYFA.JK,Pyridam Farma Tbk
RAJA.JK,Rukun Raharja Tbk.
RALS.JK,Ramayana Lestari Sentosa Tbk.
RANC.JK,Supra Boga Lestari Tbk.
RBMS.JK,Ristia Bintang Mahkotasejati T
RDTX.JK,Roda Vivatex Tbk
RELI.JK,Reliance Sekuritas Indonesia T
RICY.JK,Ricky Putra Globalindo Tbk
RIGS.JK,Rig Tenders Indonesia Tbk.
RIMO.JK,Rimo International Lestari Tbk
RMBA.JK,Bentoel Internasional Investam
RODA.JK,Pikko Land Development Tbk.
ROTI.JK,Nippon Indosari Corpindo Tbk.
RUIS.JK,Radiant Utama Interinsco Tbk.
SAFE.JK,Steady Safe Tbk
SAME.JK,Sarana Meditama Metropolitan T
SCBD.JK,Danayasa Arthatama Tbk.
SCCO.JK,Supreme Cable Manufacturing &
SCMA.JK,Surya Citra Media Tbk.
SCPI.JK,Merck Sharp Dohme Pharma Tbk.
SDMU.JK,Sidomulyo Selaras Tbk.
SDPC.JK,Millennium Pharmacon Internati
SDRA.JK,Bank Woori Saudara Indonesia 1
SGRO.JK,Sampoerna Agro Tbk.
SHID.JK,Hotel Sahid Jaya International
SIDO.JK,Industri Jamu dan Farmasi Sido
SILO.JK,Siloam International Hospitals
SIMA.JK,Siwani Makmur Tbk
SIMP.JK,Salim Ivomas Pratama Tbk.
SIPD.JK,Sierad Produce Tbk.
SKBM.JK,Sekar Bumi Tbk.
SKLT.JK,Sekar Laut Tbk.
SKYB.JK,Northcliff Citranusa Indonesia
SMAR.JK,Smart Tbk.
SMBR.JK,Semen Baturaja (Persero) Tbk.
SMCB.JK,Solusi Bangun Indonesia Tbk.
SMDM.JK,Suryamas Dutamakmur Tbk.
SMDR.JK,Samudera Indonesia Tbk.
SMGR.JK,Semen Indonesia (Persero) Tbk.
SMMA.JK,Sinarmas Multiartha Tbk.
SMMT.JK,Golden Eagle Energy Tbk.
SMRA.JK,Summarecon Agung Tbk.
SMRU.JK,SMR Utama Tbk.
SMSM.JK,Selamat Sempurna Tbk.
SONA.JK,Sona Topas Tourism Industry Tb
SPMA.JK,Suparma Tbk.
SQMI.JK,Renuka Coalindo Tbk.
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk.
SRIL.JK,Sri Rejeki Isman Tbk.
SRSN.JK,Indo Acidatama Tbk
SRTG.JK,Saratoga Investama Sedaya Tbk.
SSIA.JK,Surya Semesta Internusa Tbk.
SSMS.JK,Sawit Sumbermas Sarana Tbk.
SSTM.JK,Sunson Textile Manufacture Tbk
STAR.JK,Buana Artha Anugerah Tbk.
STTP.JK,Siantar Top Tbk.
SUGI.JK,Sugih Energy Tbk.
SULI.JK,SLJ Global Tbk.
SUPR.JK,Solusi Tunas Pratama Tbk.
TAXI.JK,Express Transindo Utama Tbk.
TBIG.JK,Tower Bersama Infrastructure T
TBLA.JK,Tunas Baru Lampung Tbk.
TBMS.JK,Tembaga Mulia Semanan Tbk.
TCID.JK,Mandom Indonesia Tbk.
TELE.JK,Tiphone Mobile Indonesia Tbk.
TFCO.JK,Tifico Fiber Indonesia Tbk.
TGKA.JK,Tigaraksa Satria Tbk.
TIFA.JK,Tifa Finance Tbk.
TINS.JK,Timah Tbk.
TIRA.JK,Tira Austenite Tbk
TIRT.JK,Tirta Mahakam Resources Tbk
TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.
TLKM.JK,Telekomunikasi Indonesia (Pers
TMAS.JK,Temas Tbk.
TMPI.JK,Sigmagold Inti Perkasa Tbk.
TMPO.JK,Tempo Intimedia Tbk.
TOBA.JK,Toba Bara Sejahtra Tbk.
TOTL.JK,Total Bangun Persada Tbk.
TOTO.JK,Surya Toto Indonesia Tbk.
TOWR.JK,Sarana Menara Nusantara Tbk.
TPIA.JK,Chandra Asri Petrochemical Tbk
TPMA.JK,Trans Power Marine Tbk.
TRAM.JK,Trada Alam Minera Tbk.
TRIL.JK,Triwira Insanlestari Tbk.
TRIM.JK,Trimegah Sekuritas Indonesia T
TRIO.JK,Trikomsel Oke Tbk.
TRIS.JK,Trisula International Tbk.
TRST.JK,Trias Sentosa Tbk.
TRUS.JK,Trust Finance Indonesia Tbk
TSPC.JK,Tempo Scan Pacific Tbk.
TURI.JK,Tunas Ridean Tbk.
ULTJ.JK,Ultra Jaya Milk Industry & Tra
UNIC.JK,Unggul Indah Cahaya Tbk.
UNIT.JK,Nusantara Inti Corpora Tbk
UNSP.JK,Bakrie Sumatera Plantations Tb
UNTR.JK,United Tractors Tbk.
UNVR.JK,Unilever Indonesia Tbk.
VICO.JK,Victoria Investama Tbk.
VIVA.JK,Visi Media Asia Tbk.
VOKS.JK,Voksel Electric Tbk.
VRNA.JK,Verena Multi Finance Tbk.
WAPO.JK,Wahana Pronatural Tbk.
WEHA.JK,WEHA Transportasi Indonesia Tb
WICO.JK,Wicaksana Overseas Internation
WIIM.JK,Wismilak Inti Makmur Tbk.
WIKA.JK,Wijaya Karya (Persero) Tbk.
WINS.JK,Wintermar Offshore Marine Tbk.
WOMF.JK,Wahana Ottomitra Multiartha Tb
WSKT.JK,Waskita Karya (Persero) Tbk.
YPAS.JK,Yanaprima Hastapersada Tbk
YULE.JK,Yulie Sekuritas Indonesia Tbk.
ZBRA.JK,Zebra Nusantara Tbk
